Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,3314.031005859375,3349.052978515625,3314.031005859375,3348.325927734375,3348.325927734375,202300
2018-01-03,3347.742919921875,3379.9150390625,3345.2890625,3369.10791015625,3369.10791015625,213800
2018-01-04,3371.0,3392.825927734375,3365.294921875,3385.7099609375,3385.7099609375,207000
2018-01-05,3386.464111328125,3402.069091796875,3380.2451171875,3391.75,3391.75,213100
2018-01-08,3391.552978515625,3412.73095703125,3384.55908203125,3409.47998046875,3409.47998046875,236200
2018-01-09,3406.112060546875,3417.22802734375,3403.5869140625,3413.89990234375,3413.89990234375,191500
2018-01-10,3414.113037109375,3430.214111328125,3398.842041015625,3421.833984375,3421.833984375,209100
2018-01-11,3415.5849609375,3426.48291015625,3405.638916015625,3425.344970703125,3425.344970703125,173800
2018-01-12,3423.87890625,3435.424072265625,3417.97998046875,3428.94091796875,3428.94091796875,174100
2018-01-15,3428.950927734375,3442.5009765625,3402.31201171875,3410.488037109375,3410.488037109375,232000
2018-01-16,3403.468994140625,3437.5830078125,3401.9609375,3436.593994140625,3436.593994140625,211500
2018-01-17,3438.575927734375,3465.205078125,3430.510986328125,3444.6708984375,3444.6708984375,261000
2018-01-18,3449.881103515625,3476.5458984375,3448.7890625,3474.75390625,3474.75390625,220000
2018-01-19,3481.6201171875,3498.43408203125,3474.2919921875,3487.864013671875,3487.864013671875,247500
2018-01-22,3476.993896484375,3503.385986328125,3475.673095703125,3501.362060546875,3501.362060546875,217500
2018-01-23,3504.343994140625,3547.221923828125,3504.343994140625,3546.5048828125,3546.5048828125,238700
2018-01-24,3553.47900390625,3569.489013671875,3527.112060546875,3559.465087890625,3559.465087890625,253000
2018-01-25,3555.16796875,3571.48095703125,3528.034912109375,3548.306884765625,3548.306884765625,243400
2018-01-26,3535.492919921875,3574.905029296875,3534.195068359375,3558.12890625,3558.12890625,222700
2018-01-29,3563.639892578125,3587.031982421875,3510.26904296875,3523.0009765625,3523.0009765625,236000
2018-01-30,3511.5009765625,3523.051025390625,3484.656005859375,3488.009033203125,3488.009033203125,186400
2018-01-31,3470.509033203125,3495.452880859375,3454.72607421875,3480.8330078125,3480.8330078125,207300
2018-02-01,3478.669921875,3495.093017578125,3424.4189453125,3446.97998046875,3446.97998046875,260500
2018-02-02,3419.22509765625,3463.1640625,3388.860107421875,3462.0810546875,3462.0810546875,208100
2018-02-05,3411.669921875,3487.720947265625,3406.240966796875,3487.4970703125,3487.4970703125,217700
2018-02-06,3418.010009765625,3440.1240234375,3364.216064453125,3370.652099609375,3370.652099609375,280600
2018-02-07,3412.743896484375,3425.5380859375,3304.007080078125,3309.260009765625,3309.260009765625,260900
2018-02-08,3281.0458984375,3307.162109375,3225.7119140625,3262.050048828125,3262.050048828125,201300
2018-02-09,3172.85107421875,3180.110107421875,3062.742919921875,3129.85107421875,3129.85107421875,256400
2018-02-12,3128.37109375,3168.1259765625,3113.60498046875,3154.125,3154.125,153300
2018-02-13,3176.10693359375,3219.217041015625,3176.10693359375,3184.958984375,3184.958984375,151500
2018-02-14,3188.248046875,3203.4970703125,3171.384033203125,3199.158935546875,3199.158935546875,100300
2018-02-22,3237.569091796875,3269.916015625,3234.114990234375,3268.55908203125,3268.55908203125,138700
2018-02-23,3275.428955078125,3294.134033203125,3258.488037109375,3289.02392578125,3289.02392578125,145800
2018-02-26,3307.294921875,3335.986083984375,3281.614990234375,3329.573974609375,3329.573974609375,188600
2018-02-27,3328.672119140625,3328.672119140625,3284.62890625,3292.068115234375,3292.068115234375,174200
2018-02-28,3264.05908203125,3277.83203125,3239.843994140625,3259.407958984375,3259.407958984375,151000
2018-03-01,3235.089111328125,3280.14892578125,3228.5849609375,3273.7548828125,3273.7548828125,159100
2018-03-02,3248.446044921875,3269.93798828125,3242.26708984375,3254.528076171875,3254.528076171875,150900
2018-03-05,3255.87109375,3269.39990234375,3236.717041015625,3256.926025390625,3256.926025390625,144800
2018-03-06,3266.487060546875,3290.2529296875,3243.654052734375,3289.64208984375,3289.64208984375,195400
2018-03-07,3288.864990234375,3308.406005859375,3264.763916015625,3271.66796875,3271.66796875,168700
2018-03-08,3268.346923828125,3289.4970703125,3261.552001953125,3288.406005859375,3288.406005859375,149800
2018-03-09,3291.426025390625,3309.715087890625,3283.55908203125,3307.166015625,3307.166015625,168400
2018-03-12,3319.208984375,3333.56103515625,3313.554931640625,3326.698974609375,3326.698974609375,206500
2018-03-13,3324.1220703125,3333.875,3307.3759765625,3310.239013671875,3310.239013671875,177100
2018-03-14,3298.666015625,3304.97900390625,3287.35595703125,3291.382080078125,3291.382080078125,157500
2018-03-15,3277.513916015625,3297.097900390625,3273.200927734375,3291.112060546875,3291.112060546875,148600
2018-03-16,3290.208984375,3300.56494140625,3269.282958984375,3269.882080078125,3269.882080078125,141200
2018-03-19,3264.927978515625,3280.56689453125,3251.047119140625,3279.251953125,3279.251953125,138000
2018-03-20,3257.218994140625,3292.573974609375,3252.43310546875,3290.639892578125,3290.639892578125,139900
2018-03-21,3299.73095703125,3314.208984375,3268.8779296875,3280.951904296875,3280.951904296875,168400
2018-03-22,3281.264892578125,3288.797119140625,3242.761962890625,3263.47998046875,3263.47998046875,150400
2018-03-23,3172.77197265625,3188.235107421875,3110.6640625,3152.760986328125,3152.760986328125,275500
2018-03-26,3117.319091796875,3134.27587890625,3091.4580078125,3133.721923828125,3133.721923828125,186400
2018-03-27,3164.798095703125,3172.778076171875,3143.570068359375,3166.64892578125,3166.64892578125,189100
2018-03-28,3130.571044921875,3165.212890625,3117.533935546875,3122.2900390625,3122.2900390625,163500
2018-03-29,3127.262939453125,3174.509033203125,3098.2470703125,3160.531005859375,3160.531005859375,170300
2018-03-30,3161.785888671875,3177.720947265625,3152.888916015625,3168.89697265625,3168.89697265625,154600
2018-04-02,3169.779052734375,3192.340087890625,3159.986083984375,3163.178955078125,3163.178955078125,177700
2018-04-03,3130.012939453125,3144.33203125,3119.132080078125,3136.633056640625,3136.633056640625,152200
2018-04-04,3147.049072265625,3163.340087890625,3128.866943359375,3131.111083984375,3131.111083984375,147000
2018-04-09,3125.44189453125,3146.093017578125,3110.302978515625,3138.2939453125,3138.2939453125,139600
2018-04-10,3144.257080078125,3190.64892578125,3139.0810546875,3190.322021484375,3190.322021484375,168200
2018-04-11,3197.3720703125,3220.844970703125,3191.5869140625,3208.08203125,3208.08203125,175900
2018-04-12,3203.278076171875,3205.251953125,3177.049072265625,3180.157958984375,3180.157958984375,148200
2018-04-13,3192.0419921875,3197.89599609375,3155.506103515625,3159.052001953125,3159.052001953125,127600
2018-04-16,3152.887939453125,3153.10595703125,3096.10009765625,3110.64892578125,3110.64892578125,154400
2018-04-17,3112.97509765625,3118.760009765625,3064.028076171875,3066.797119140625,3066.797119140625,147200
2018-04-18,3091.909912109375,3096.888916015625,3041.625,3091.39892578125,3091.39892578125,159300
2018-04-19,3094.27392578125,3127.43896484375,3090.287109375,3117.3759765625,3117.3759765625,160100
2018-04-20,3105.4619140625,3111.1708984375,3065.9208984375,3071.54296875,3071.54296875,155100
2018-04-23,3063.443115234375,3085.056884765625,3045.93701171875,3068.011962890625,3068.011962890625,131700
2018-04-24,3069.74609375,3136.0400390625,3069.74609375,3128.927001953125,3128.927001953125,162300
2018-04-25,3112.39794921875,3122.907958984375,3107.0009765625,3117.97412109375,3117.97412109375,127300
2018-04-26,3119.49609375,3121.93310546875,3067.928955078125,3075.030029296875,3075.030029296875,134000
2018-04-27,3082.4150390625,3088.034912109375,3049.9140625,3082.23193359375,3082.23193359375,131200
2018-05-02,3087.408935546875,3097.60400390625,3064.762939453125,3081.177001953125,3081.177001953125,134200
2018-05-03,3074.51708984375,3105.659912109375,3056.156982421875,3100.85888671875,3100.85888671875,140000
2018-05-04,3093.116943359375,3104.093017578125,3086.784912109375,3091.032958984375,3091.032958984375,118700
2018-05-07,3094.89892578125,3136.8359375,3091.657958984375,3136.64501953125,3136.64501953125,138900
2018-05-08,3135.2958984375,3169.700927734375,3134.06201171875,3161.498046875,3161.498046875,146900
2018-05-09,3160.137939453125,3165.373046875,3145.656982421875,3159.14990234375,3159.14990234375,122600
2018-05-10,3169.050048828125,3176.137939453125,3155.532958984375,3174.4130859375,3174.4130859375,133000
2018-05-11,3179.797119140625,3180.756103515625,3162.2119140625,3163.262939453125,3163.262939453125,130700
2018-05-14,3167.0419921875,3183.81591796875,3163.47607421875,3174.031982421875,3174.031982421875,129300
2018-05-15,3180.425048828125,3192.806884765625,3164.51806640625,3192.117919921875,3192.117919921875,124500
